route,depart_date,return_date,price,currency,out_duration,out_duration_min,out_stops,out_carriers,out_depart,out_arrive,ret_duration,ret_duration_min,ret_stops,ret_carriers,ret_depart,ret_arrive,carrier_main,total_duration_min,price_per_hour
MIA-BOM,2025-10-04,2025-10-07,774.97,USD,PT21H15M,1275,1,TURKISH AIRLINES,2025-10-04T22:15:00,2025-10-06T05:00:00,PT34H,2040,1,TURKISH AIRLINES,2025-10-07T06:40:00,2025-10-08T07:10:00,TURKISH AIRLINES,3315,14.02660633484163
MIA-BOM,2025-10-04,2025-10-08,784.97,USD,PT21H15M,1275,1,TURKISH AIRLINES,2025-10-04T22:15:00,2025-10-06T05:00:00,PT23H10M,1390,1,TURKISH AIRLINES,2025-10-08T06:40:00,2025-10-08T20:20:00,TURKISH AIRLINES,2665,17.672870544090056
MIA-BOM,2025-10-04,2025-10-08,903.37,USD,PT21H15M,1275,1,AIR FRANCE,2025-10-04T16:35:00,2025-10-05T23:20:00,PT22H25M,1345,1,AIR FRANCE,2025-10-08T01:20:00,2025-10-08T14:15:00,AIR FRANCE,2620,20.687862595419848
MIA-BOM,2025-10-04,2025-10-07,914.37,USD,PT21H15M,1275,1,AIR FRANCE,2025-10-04T16:35:00,2025-10-05T23:20:00,PT22H25M,1345,1,AIR FRANCE,2025-10-07T01:20:00,2025-10-07T14:15:00,AIR FRANCE,2620,20.939770992366412
MIA-BOM,2025-10-04,2025-10-06,934.97,USD,PT21H10M,1270,1,TURKISH AIRLINES,2025-10-04T22:15:00,2025-10-06T04:55:00,PT22H55M,1375,1,TURKISH AIRLINES,2025-10-06T06:55:00,2025-10-06T20:20:00,TURKISH AIRLINES,2645,21.209149338374292
MIA-BOM,2025-10-04,2025-10-08,1122.17,USD,PT21H,1260,1,QATAR AIRWAYS,2025-10-04T19:40:00,2025-10-06T02:10:00,PT22H,1320,1,QATAR AIRWAYS,2025-10-08T04:20:00,2025-10-08T16:50:00,QATAR AIRWAYS,2580,26.096976744186048
MIA-BOM,2025-10-04,2025-10-07,1166.17,USD,PT22H50M,1370,1,EMIRATES,2025-10-04T23:55:00,2025-10-06T08:15:00,PT21H10M,1270,1,EMIRATES,2025-10-07T22:25:00,2025-10-08T10:05:00,EMIRATES,2640,26.503863636363636
MIA-BOM,2025-10-04,2025-10-08,1166.17,USD,PT22H50M,1370,1,EMIRATES,2025-10-04T23:55:00,2025-10-06T08:15:00,PT21H10M,1270,1,EMIRATES,2025-10-08T22:25:00,2025-10-09T10:05:00,EMIRATES,2640,26.503863636363636
MIA-BOM,2025-10-04,2025-10-07,1214.17,USD,PT21H,1260,1,QATAR AIRWAYS,2025-10-04T19:40:00,2025-10-06T02:10:00,PT22H,1320,1,QATAR AIRWAYS,2025-10-07T04:20:00,2025-10-07T16:50:00,QATAR AIRWAYS,2580,28.236511627906978
MIA-BOM,2025-10-04,2025-10-08,1313.97,USD,PT40H35M,2435,1,SWISS INTERNATIONAL AIR LINES,2025-10-04T19:40:00,2025-10-06T21:45:00,PT21H30M,1290,1,LUFTHANSA,2025-10-08T02:40:00,2025-10-08T14:40:00,SWISS INTERNATIONAL AIR LINES,3725,21.16461744966443
MIA-BOM,2025-10-04,2025-10-08,1364.97,USD,PT40H35M,2435,1,SWISS INTERNATIONAL AIR LINES,2025-10-04T19:40:00,2025-10-06T21:45:00,PT22H40M,1360,2,LUFTHANSA,2025-10-08T01:30:00,2025-10-08T14:40:00,SWISS INTERNATIONAL AIR LINES,3795,21.580553359683794
MIA-BOM,2025-10-04,2025-10-08,1420.57,USD,PT26H50M,1610,1,LUFTHANSA,2025-10-04T16:40:00,2025-10-06T05:00:00,PT21H30M,1290,1,LUFTHANSA,2025-10-08T02:40:00,2025-10-08T14:40:00,LUFTHANSA,2900,29.39110344827586
MIA-BOM,2025-10-04,2025-10-07,1420.57,USD,PT26H50M,1610,1,LUFTHANSA,2025-10-04T16:40:00,2025-10-06T05:00:00,PT42H10M,2530,2,LUFTHANSA,2025-10-07T06:00:00,2025-10-08T14:40:00,LUFTHANSA,4140,20.58797101449275
MIA-BOM,2025-10-04,2025-10-07,1452.57,USD,PT26H50M,1610,1,LUFTHANSA,2025-10-04T16:40:00,2025-10-06T05:00:00,PT21H30M,1290,1,LUFTHANSA,2025-10-07T02:40:00,2025-10-07T14:40:00,LUFTHANSA,2900,30.0531724137931
MIA-BOM,2025-10-04,2025-10-08,1460.57,USD,PT30H20M,1820,2,LUFTHANSA,2025-10-04T16:40:00,2025-10-06T08:30:00,PT21H30M,1290,1,LUFTHANSA,2025-10-08T02:40:00,2025-10-08T14:40:00,LUFTHANSA,3110,28.17819935691318
